7926dc5000-7926ecc000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5564]
7926ecc000-7926ece000 ---p 00000000 00:00 0 
7926ece000-7926ecf000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5557]
7926ecf000-7926fd6000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5557]
7926fd6000-7926fd7000 ---p 00000000 00:00 0 
7927283000-7927324000 rw-s 00000000 00:01 1337638                        /dev/ashmem/MessageQueue (deleted)
792758b000-792762c000 rw-s 00000000 00:01 1326953                        /dev/ashmem/MessageQueue (deleted)
7927de7000-7927de8000 ---p 00000000 00:00 0 
7927de8000-7927ee4000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5577]
7927ee4000-7927ee6000 ---p 00000000 00:00 0 
7927ee6000-7927fe2000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5575]
7927fe2000-7927fe4000 ---p 00000000 00:00 0 
7927fe4000-79280e0000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5571]
79280e0000-79280e1000 ---p 00000000 00:00 0 
792a3f5000-792af74000 ---p 00000000 00:00 0 
792af74000-792af76000 rw-p 00000000 00:00 0 
792af76000-792b8b6000 ---p 00000000 00:00 0 
792b8b6000-792b8b8000 rw-p 00000000 00:00 0 
792b8b8000-792d238000 ---p 00000000 00:00 0 
792d238000-792d23a000 rw-p 00000000 00:00 0 
792d23a000-792dd76000 ---p 00000000 00:00 0 
792dd76000-792dd78000 rw-p 00000000 00:00 0 
792dd78000-792e3f5000 ---p 00000000 00:00 0 
792e3f5000-792e3f6000 ---p 00000000 00:00 0 
792e3f6000-792e3f7000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5537]
792e3f7000-792e4fe000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5537]
792e4fe000-792e500000 ---p 00000000 00:00 0 
792e500000-792e501000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5542]
792e501000-792e608000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5542]
792e608000-792e609000 ---p 00000000 00:00 0 
792e609000-792e7ba000 ---p 00000000 00:00 0 
792e7ba000-792e7bc000 rw-p 00000000 00:00 0 
792e7bc000-792f609000 ---p 00000000 00:00 0 
792f609000-792f60a000 ---p 00000000 00:00 0 
792f60a000-792f60b000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5535]
792f60b000-792f712000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5535]
792f712000-792f714000 ---p 00000000 00:00 0 
792f714000-792f715000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5540]
792f715000-792f81c000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5540]
792f81c000-792f81e000 ---p 00000000 00:00 0 
792f81e000-792f81f000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5539]
792f81f000-792f926000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5539]
792f926000-792f927000 ---p 00000000 00:00 0 
792f927000-793081a000 ---p 00000000 00:00 0 
793081a000-793081c000 rw-p 00000000 00:00 0 
793081c000-7930927000 ---p 00000000 00:00 0 
7930927000-7930928000 ---p 00000000 00:00 0 
7930928000-7930929000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5529]
7930929000-7930a30000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5529]
7930a30000-7930a31000 ---p 00000000 00:00 0 
7930a31000-79312d4000 ---p 00000000 00:00 0 
79312d4000-79312d6000 rw-p 00000000 00:00 0 
79312d6000-7931a31000 ---p 00000000 00:00 0 
7931a31000-7931a32000 ---p 00000000 00:00 0 
7931a32000-7931a33000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5527]
7931a33000-7931b3a000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5527]
7931b3a000-7931b3b000 ---p 00000000 00:00 0 
